2026-03-27 22:51:15 | INFO    | Trial 38 | Starting | Params: {'alpha': 0.043257706456829845, 'gamma': 0.9394630089095908, 'epsilon': 1.0, 'epsilon_decay': 0.9955935709149445, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:51:36 | INFO    | Trial 33 | Finished | Score: -440.70
2026-03-27 22:51:50 | INFO    | Trial 34 | Finished | Score: -422.04
2026-03-27 22:51:50 | INFO    | Trial 39 | Starting | Params: {'alpha': 0.04432818928396265, 'gamma': 0.8703187294850392, 'epsilon': 1.0, 'epsilon_decay': 0.9974475487531712, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:51:53 | INFO    | Trial 40 | Starting | Params: {'alpha': 0.04643716019393288, 'gamma': 0.9078297776244316, 'epsilon': 1.0, 'epsilon_decay': 0.9969294640773252, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:52:07 | INFO    | Trial 35 | Finished | Score: -344.14
2026-03-27 22:52:22 | INFO    | Trial 41 | Starting | Params: {'alpha': 0.02787313462006072, 'gamma': 0.8690462179731012, 'epsilon': 1.0, 'epsilon_decay': 0.997291446717183, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:52:33 | INFO    | Trial 42 | Starting | Params: {'alpha': 0.0280606885197792, 'gamma': 0.9013152404843873, 'epsilon': 1.0, 'epsilon_decay': 0.9971212781583411, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:52:43 | INFO    | Trial 36 | Finished | Score: -388.30
2026-03-27 22:52:47 | INFO    | Trial 43 | Starting | Params: {'alpha': 0.027609085444192966, 'gamma': 0.8678326993383079, 'epsilon': 1.0, 'epsilon_decay': 0.9974300716663301, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:53:14 | INFO    | Trial 44 | Starting | Params: {'alpha': 0.13913113227082805, 'gamma': 0.8696758621152163, 'epsilon': 1.0, 'epsilon_decay': 0.9969385818584962, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:53:17 | INFO    | Trial 37 | Finished | Score: -455.90
2026-03-27 22:53:38 | INFO    | Trial 38 | Finished | Score: -367.68
2026-03-27 22:53:53 | INFO    | Trial 45 | Starting | Params: {'alpha': 0.12770283466316332, 'gamma': 0.9056094195515431, 'epsilon': 1.0, 'epsilon_decay': 0.9968969821782505, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:54:27 | INFO    | Trial 39 | Finished | Score: -353.30
2026-03-27 22:54:28 | INFO    | Trial 46 | Starting | Params: {'alpha': 0.13124353958731932, 'gamma': 0.8696121938850303, 'epsilon': 1.0, 'epsilon_decay': 0.9969504590312005, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:54:46 | INFO    | Trial 40 | Finished | Score: -528.32
2026-03-27 22:55:03 | INFO    | Trial 41 | Finished | Score: -422.90
2026-03-27 22:55:04 | INFO    | Trial 47 | Starting | Params: {'alpha': 0.030678516687481616, 'gamma': 0.901100942981226, 'epsilon': 1.0, 'epsilon_decay': 0.9961530650086755, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:55:08 | INFO    | Trial 42 | Finished | Score: -410.70
2026-03-27 22:55:25 | INFO    | Trial 48 | Starting | Params: {'alpha': 0.11876795511422263, 'gamma': 0.8724373829591885, 'epsilon': 1.0, 'epsilon_decay': 0.996196342360477, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:55:43 | INFO    | Trial 43 | Finished | Score: -413.14
2026-03-27 22:55:50 | INFO    | Trial 44 | Finished | Score: -354.44
2026-03-27 22:56:04 | INFO    | Trial 49 | Starting | Params: {'alpha': 0.1333384599838586, 'gamma': 0.9708694871985937, 'epsilon': 1.0, 'epsilon_decay': 0.9959065887070563, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:56:05 | INFO    | Trial 50 | Starting | Params: {'alpha': 0.1265501365479708, 'gamma': 0.9746697639318904, 'epsilon': 1.0, 'epsilon_decay': 0.9959721799827631, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:56:25 | INFO    | Trial 45 | Finished | Score: -325.38
2026-03-27 22:56:40 | INFO    | Trial 51 | Starting | Params: {'alpha': 0.1164277273584715, 'gamma': 0.9668104373785995, 'epsilon': 1.0, 'epsilon_decay': 0.9958271500734996, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:56:44 | INFO    | Trial 52 | Starting | Params: {'alpha': 0.11718278753786447, 'gamma': 0.9595865978728186, 'epsilon': 1.0, 'epsilon_decay': 0.9960177217149174, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:56:57 | INFO    | Trial 53 | Starting | Params: {'alpha': 0.11566427795613002, 'gamma': 0.9557001540715477, 'epsilon': 1.0, 'epsilon_decay': 0.9960361908809887, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:57:06 | INFO    | Trial 46 | Finished | Score: -345.64
2026-03-27 22:57:16 | INFO    | Trial 54 | Starting | Params: {'alpha': 0.12172986052855769, 'gamma': 0.9697316279147692, 'epsilon': 1.0, 'epsilon_decay': 0.99584993002762, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:58:17 | INFO    | Trial 47 | Finished | Score: -393.94
2026-03-27 22:58:44 | INFO    | Trial 55 | Starting | Params: {'alpha': 0.1152661681649407, 'gamma': 0.9707296380044288, 'epsilon': 1.0, 'epsilon_decay': 0.9985927734665367, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:59:06 | INFO    | Trial 48 | Finished | Score: -414.36
2026-03-27 22:59:14 | INFO    | Trial 56 | Starting | Params: {'alpha': 0.10288195672548324, 'gamma': 0.9635969495736844, 'epsilon': 1.0, 'epsilon_decay': 0.998160955981413, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 22:59:55 | INFO    | Trial 50 | Finished | Score: -329.86
2026-03-27 22:59:56 | INFO    | Trial 49 | Finished | Score: -362.48
2026-03-27 23:00:08 | INFO    | Trial 51 | Finished | Score: -376.78
2026-03-27 23:00:12 | INFO    | Trial 52 | Finished | Score: -335.88
2026-03-27 23:00:19 | INFO    | Trial 53 | Finished | Score: -390.84
2026-03-27 23:00:22 | INFO    | Trial 54 | Finished | Score: -384.54
2026-03-27 23:00:28 | INFO    | Trial 58 | Starting | Params: {'alpha': 0.16258008353935938, 'gamma': 0.9812212663358628, 'epsilon': 1.0, 'epsilon_decay': 0.9981611658058013, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:00:28 | INFO    | Trial 57 | Starting | Params: {'alpha': 0.1650909573097574, 'gamma': 0.9859263676914557, 'epsilon': 1.0, 'epsilon_decay': 0.997943285121449, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:00:41 | INFO    | Trial 59 | Starting | Params: {'alpha': 0.16856894414848206, 'gamma': 0.9893638664520817, 'epsilon': 1.0, 'epsilon_decay': 0.9983151272747306, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:01:05 | INFO    | Trial 60 | Starting | Params: {'alpha': 0.17769077589836899, 'gamma': 0.9169318375657043, 'epsilon': 1.0, 'epsilon_decay': 0.9983853296425751, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:01:16 | INFO    | Trial 61 | Starting | Params: {'alpha': 0.16739168929409845, 'gamma': 0.9832297322288652, 'epsilon': 1.0, 'epsilon_decay': 0.9982572384281867, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:01:16 | INFO    | Trial 62 | Starting | Params: {'alpha': 0.16924450232301777, 'gamma': 0.9866509171479089, 'epsilon': 1.0, 'epsilon_decay': 0.9979035374874071, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:01:19 | INFO    | Trial 56 | Finished | Score: -351.48
2026-03-27 23:01:22 | INFO    | Trial 55 | Finished | Score: -395.76
2026-03-27 23:01:52 | INFO    | Trial 63 | Starting | Params: {'alpha': 0.1708378578636842, 'gamma': 0.9816177872194938, 'epsilon': 1.0, 'epsilon_decay': 0.9965435420106052, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:01:56 | INFO    | Trial 64 | Starting | Params: {'alpha': 0.07997488499521287, 'gamma': 0.982725613260094, 'epsilon': 1.0, 'epsilon_decay': 0.9937199360934328, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:03:56 | INFO    | Trial 57 | Finished | Score: -519.46
2026-03-27 23:03:59 | INFO    | Trial 58 | Finished | Score: -479.66
2026-03-27 23:04:28 | INFO    | Trial 65 | Starting | Params: {'alpha': 0.03569631467457117, 'gamma': 0.9196026180961413, 'epsilon': 1.0, 'epsilon_decay': 0.996508925472682, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:04:28 | INFO    | Trial 66 | Starting | Params: {'alpha': 0.07524643566084092, 'gamma': 0.9170143672522223, 'epsilon': 1.0, 'epsilon_decay': 0.9965363398695615, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:05:15 | INFO    | Trial 59 | Finished | Score: -449.64
2026-03-27 23:05:45 | INFO    | Trial 67 | Starting | Params: {'alpha': 0.07638039627688153, 'gamma': 0.9161120916346345, 'epsilon': 1.0, 'epsilon_decay': 0.9938981752088659, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:06:11 | INFO    | Trial 61 | Finished | Score: -426.56
2026-03-27 23:06:17 | INFO    | Trial 62 | Finished | Score: -524.84
2026-03-27 23:06:17 | INFO    | Trial 60 | Finished | Score: -496.50
2026-03-27 23:06:32 | INFO    | Trial 64 | Finished | Score: -400.58
2026-03-27 23:06:36 | INFO    | Trial 63 | Finished | Score: -336.10
2026-03-27 23:06:38 | INFO    | Trial 68 | Starting | Params: {'alpha': 0.07398421034319522, 'gamma': 0.8940055194979536, 'epsilon': 1.0, 'epsilon_decay': 0.9964887198688233, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:06:41 | INFO    | Trial 69 | Starting | Params: {'alpha': 0.03722063083014143, 'gamma': 0.8944450537901445, 'epsilon': 1.0, 'epsilon_decay': 0.9948417408509207, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:06:42 | INFO    | Trial 70 | Starting | Params: {'alpha': 0.03665873184238579, 'gamma': 0.8937902579988958, 'epsilon': 1.0, 'epsilon_decay': 0.9948552785990821, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:07:11 | INFO    | Trial 71 | Starting | Params: {'alpha': 0.03580340080410512, 'gamma': 0.8797656831206454, 'epsilon': 1.0, 'epsilon_decay': 0.994982241831333, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:07:14 | INFO    | Trial 72 | Starting | Params: {'alpha': 0.03738743799668686, 'gamma': 0.892484352284415, 'epsilon': 1.0, 'epsilon_decay': 0.994904555983952, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:09:06 | INFO    | Trial 66 | Finished | Score: -425.76
2026-03-27 23:09:18 | INFO    | Trial 65 | Finished | Score: -400.22
2026-03-27 23:09:31 | INFO    | Trial 73 | Starting | Params: {'alpha': 0.05335463915957776, 'gamma': 0.8941183217428689, 'epsilon': 1.0, 'epsilon_decay': 0.9949351181118647, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:09:54 | INFO    | Trial 74 | Starting | Params: {'alpha': 0.05431312734568329, 'gamma': 0.8789501026204664, 'epsilon': 1.0, 'epsilon_decay': 0.9949279140409468, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:10:37 | INFO    | Trial 67 | Finished | Score: -390.78
2026-03-27 23:11:07 | INFO    | Trial 75 | Starting | Params: {'alpha': 0.054390386567972744, 'gamma': 0.8951925848479853, 'epsilon': 1.0, 'epsilon_decay': 0.9955112825105283, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:11:18 | INFO    | Trial 68 | Finished | Score: -367.24
2026-03-27 23:11:24 | INFO    | Trial 70 | Finished | Score: -381.10
2026-03-27 23:11:41 | INFO    | Trial 69 | Finished | Score: -368.34
2026-03-27 23:11:48 | INFO    | Trial 76 | Starting | Params: {'alpha': 0.05329721941537174, 'gamma': 0.8829813445572994, 'epsilon': 1.0, 'epsilon_decay': 0.9947736522046777, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:11:51 | INFO    | Trial 72 | Finished | Score: -443.24
2026-03-27 23:11:59 | INFO    | Trial 71 | Finished | Score: -396.48
2026-03-27 23:12:01 | INFO    | Trial 77 | Starting | Params: {'alpha': 0.09256843697453818, 'gamma': 0.8791518256923411, 'epsilon': 1.0, 'epsilon_decay': 0.9948469883714268, 'epsilon_min': 0.01, 'n_episodes': 400}
2026-03-27 23:12:39 | INFO    | Trial 78 | Starting | Params: {'alpha': 0.05172686694376707, 'gamma': 0.9491383419202973, 'epsilon': 1.0, 'epsilon_decay': 0.9956575242883278, 'epsilon_min': 0.01, 'n_episodes': 400}
